unigram;n...2;bigram;n...4;trigram;n...6;quadgram;n...8
32.99.1; 1;fornitura di; 2;studio professionale di; 2;95.12.09 riparazione e manutenzione; 1
35; 1;industria delle; 2;terrestre e trasporto; 2;abbonamenti parcheggio a pagamento; 1
36; 1;industriali per; 2;trasporto marittimo e; 2;acqua 38 attività di; 1
37; 1;industrie alimentari; 2;trasporto mediante condotte; 2;agricole e produzione di; 1
38; 1;lavoro e; 2;trasporto terrestre e; 2;altre apparecchiature per le; 1
42; 1;manutenzione e; 2;1 coltivazioni agricole; 1;animali 3 pesca e; 1
45.2; 1;marittimo e; 2;20 fabbricazione di; 1;apparecchiature per le comunicazioni; 1
45.4; 1;mediante condotte; 2;26 fabbricazione di; 1;apparecchiature per le telecomunicazioni; 1
455.3; 1;organizzazioni economiche; 2;28.99.2 fabbricazione di; 1;aria condizionata 37 gestione; 1
46; 1;per le; 2;28.99.2 fabbricazione do; 1;ateco 81.3 cura e; 1
81.3; 1;per usi; 2;3 pesca e; 1;attività culturali settore terziario; 1
95.12.09; 1;per vie; 2;35 fornitura di; 1;attività di manutenzione e; 1
abbonamenti; 1;professionale di; 2;36 raccolta trattamento; 1;attività di raccolta trattamento; 1
accessori; 1;raccolta trattamento; 2;37 gestione delle; 1;automatiche per l'industria automotive; 1
acqua; 1;riparazione di; 2;38 attività di; 1;automotive e di consumer; 1
acquacoltura; 1;robot industriali; 2;42 ingegneria civile; 1;autoveicoli 45.4 per la; 1
aeromobili; 1;sostegno alle; 2;45.2 455.3 manutenzione; 1;codice ateco 81.3 cura; 1
agente; 1;strutture simili; 2;45.4 per la; 1;coltivazioni agricole e produzione; 1
agricole; 1;studio professionale; 2;455.3 manutenzione e; 1;commercio di relative parti; 1
all'ingrosso; 1;terrestre e; 2;46 commercio all'ingrosso; 1;condizionata 37 gestione delle; 1
altre; 1;trasporto marittimo; 2;81.3 cura e; 1;costruzione di macchine automatiche; 1
animali; 1;trasporto mediante; 2;95.12.09 riparazione e; 1;cura e manutenzione del; 1
aria; 1;trasporto terrestre; 2;abbonamenti parcheggio a; 1;dei rifiuti recupero dei; 1
automatiche; 1;trattamento e; 2;acqua 38 attività; 1;di acqua 38 attività; 1
automotive; 1;usi molteplici; 2;agricole e produzione; 1;di altre apparecchiature per; 1
autoveicoli; 1;vie d'acqua; 2;altre apparecchiature per; 1;di apparecchiature per le; 1
base; 1;1 coltivazioni; 1;animali 3 pesca; 1;di autoveicoli 45.4 per; 1
chimici; 1;20 fabbricazione; 1;aria condizionata 37; 1;di energia elettrica gas; 1
civile; 1;26 fabbricazione; 1;ateco 81.3 cura; 1;di macchine automatiche per; 1
codice; 1;3 pesca; 1;attività culturali settore; 1;di manutenzione e riparazione; 1
coltivazioni; 1;35 fornitura; 1;attività di manutenzione; 1;di motocicli e commercio; 1
commercializzazione; 1;36 raccolta; 1;attività di raccolta; 1;di prodotti animali 3; 1
comunicazioni; 1;37 gestione; 1;automatiche per l'industria; 1;di raccolta trattamento e; 1
condizionata; 1;38 attività; 1;automotive e di; 1;di robot industriali per; 1
consumer; 1;42 ingegneria; 1;autoveicoli 45.4 per; 1;disegno e costruzione di; 1
costruzione; 1;45.2 455.3; 1;codice ateco 81.3; 1;dispositivi elettromedicali commercializzazione e; 1
culturali; 1;45.4 per; 1;coltivazioni agricole e; 1;do robot industriali per; 1
cura; 1;455.3 manutenzione; 1;commercializzazione e assistenza; 1;e aria condizionata 37; 1
designer; 1;46 commercio; 1;commercio di relative; 1;e commercio di relative; 1
desk; 1;81.3 cura; 1;condizionata 37 gestione; 1;e costruzione di macchine; 1
disegno; 1;95.12.09 riparazione; 1;costruzione di macchine; 1;e di consumer products; 1
dispositivi; 1;a pagamento; 1;culturali settore terziario; 1;e fornitura di acqua; 1
do; 1;abbonamenti parcheggio; 1;cura e manutenzione; 1;e manutenzione del paesaggio; 1
elettrica; 1;acqua 38; 1;dei rifiuti recupero; 1;e manutenzione di altre; 1
elettromedicali; 1;agente immobiliare; 1;delle reti fognarie; 1;e produzione di prodotti; 1
energia; 1;agricole e; 1;desk settore lapideo; 1;e riparazione di autoveicoli; 1
estetica; 1;altre apparecchiature; 1;di acqua 38; 1;e riparazione di motocicli; 1
farmacia; 1;animali 3; 1;di altre apparecchiature; 1;e smaltimento dei rifiuti; 1
farmacista; 1;aria condizionata; 1;di apparecchiature per; 1;elettrica gas vapore e; 1
fognarie; 1;ateco 32.99.1; 1;di autoveicoli 45.4; 1;elettromedicali commercializzazione e assistenza; 1
front; 1;ateco 81.3; 1;di consumer products; 1;energia elettrica gas vapore; 1
gas; 1;attività culturali; 1;di energia elettrica; 1;fabbricazione di apparecchiature per; 1
gestione; 1;automatiche per; 1;di macchine automatiche; 1;fabbricazione di prodotti chimici; 1
immobiliare; 1;automotive e; 1;di manutenzione e; 1;fabbricazione di robot industriali; 1
incluse; 1;autoveicoli 45.4; 1;di motocicli e; 1;fabbricazione do robot industriali; 1
infantile; 1;codice ateco; 1;di prodotti animali; 1;fornitura di acqua 38; 1
informatici; 1;coltivazioni agricole; 1;di prodotti chimici; 1;fornitura di energia elettrica; 1
ingegneria; 1;commercializzazione e; 1;di raccolta trattamento; 1;front desk settore lapideo; 1
italiane; 1;commercio all'ingrosso; 1;di relative parti; 1;gas vapore e aria; 1
l'industria; 1;commercio di; 1;di robot industriali; 1;gestione delle reti fognarie; 1
lapideo; 1;condizionata 37; 1;disegno e costruzione; 1;incluse parti e accessori; 1
libero; 1;consumer products; 1;dispositivi elettromedicali commercializzazione; 1;l'industria automotive e di; 1
materiali; 1;costruzione di; 1;do robot industriali; 1;la sola attività di; 1
medico; 1;culturali settore; 1;e aria condizionata; 1;macchine automatiche per l'industria; 1
mobili; 1;cura e; 1;e commercio di; 1;manutenzione di altre apparecchiature; 1
moda; 1;dei materiali; 1;e costruzione di; 1;molteplici incluse parti e; 1
motocicli; 1;dei rifiuti; 1;e di consumer; 1;motocicli e commercio di; 1
operatore; 1;del paesaggio; 1;e fornitura di; 1;per l'industria automotive e; 1
ortopedici; 1;delle reti; 1;e manutenzione del; 1;per la sola attività; 1
paesaggio; 1;desk settore; 1;e manutenzione di; 1;per usi molteplici incluse; 1
pagamento; 1;di acqua; 1;e produzione di; 1;prodotti animali 3 pesca; 1
parcheggio; 1;di altre; 1;e smaltimento dei; 1;produzione di prodotti animali; 1
pesca; 1;di apparecchiature; 1;elettrica gas vapore; 1;raccolta trattamento e fornitura; 1
products; 1;di autoveicoli; 1;elettromedicali commercializzazione e; 1;raccolta trattamento e smaltimento; 1
professionista; 1;di base; 1;energia elettrica gas; 1;rifiuti recupero dei materiali; 1
recupero; 1;di consumer; 1;fabbricazione di apparecchiature; 1;riparazione di autoveicoli 45.4; 1
relative; 1;di energia; 1;fabbricazione di prodotti; 1;riparazione di motocicli e; 1
reti; 1;di manutenzione; 1;fabbricazione di robot; 1;riparazione e manutenzione di; 1
riabilitazione; 1;di motocicli; 1;fabbricazione do robot; 1;smaltimento dei rifiuti recupero; 1
rifiuti; 1;di raccolta; 1;fornitura di acqua; 1;sola attività di manutenzione; 1
sanitari; 1;di relative; 1;fornitura di energia; 1;trattamento e fornitura di; 1
sanitario; 1;di robot; 1;front desk settore; 1;trattamento e smaltimento dei; 1
scuola; 1;disegno e; 1;gas vapore e; 1;usi molteplici incluse parti; 1
smaltimento; 1;dispositivi elettromedicali; 1;gestione delle reti; 1;vapore e aria condizionata; 1
software; 1;do robot; 1;incluse parti e; 1;vendita abbonamenti parcheggio a; 1
sola; 1;e accessori; 1;l'industria automotive e; 1;NA;NA
spa; 1;e acquacoltura; 1;la sola attività; 1;NA;NA
superiore; 1;e aria; 1;macchine automatiche per; 1;NA;NA
telecomunicazioni; 1;e assistenza; 1;manutenzione del paesaggio; 1;NA;NA
